school name,location,state,rating,state test proficiency,population,graduation rate,standardized test performance,upperclassmen taking ACT or SAT,AP class enrollment rate,AP test pass rate,white student percentage,black student percentage,hispanic student percentage,asian pacific student percentage,native american indian student percentage,hawaiian pacific islander student percentage,two or more races student percentage
"
Westfield High School
",Westfield,IN,#1,96%,"
1,934
",98%,96%,1093,8th,83%,84%,2.7%,7.3%,2.2%,0.1%,0%,3.8%
"
Munster High School
",Munster,IN,#2,96%,"
1,522
",96%,96%,1105,37th,67%,64%,6.1%,19.4%,7.2%,0%,0%,3.3%
"
Carmel High School
",Carmel,IN,#3,97%,"
4,830
",97%,97%,1144,29th,55%,78.3%,3.8%,2.6%,10.7%,0.2%,0.2%,4.1%
"
Ankeny Centennial High School
",Ankeny,IA,#1,94%,"
1,028
",97%,94%,76%,35%,55%,90.8%,1.8%,3.5%,1.9%,0.1%,0.1%,1.8%
"
Cedar Falls High School
",Cedar Falls,IA,#2,92%,"
1,131
",96%,92%,85%,18%,55%,84.3%,4.2%,3.7%,4.2%,0.1%,0.1%,3.5%
"
Decorah High School
",Decorah,IA,#3,95%,"
572
",95% or more*,95%,48%,25%,86%,94.6%,0.3%,2.4%,1%,0%,0%,1.6%
"
Blue Valley North High
",Overland Park,KS,#1,59%,"
1,533
",97%,59%,26.6,11th,92%,72.9%,5.5%,5%,12.1%,0.5%,0%,4.1%
"
Blue Valley Northwest High
",Overland Park,KS,#2,53%,"
1,580
",96%,53%,25.8,7th,81%,75.5%,4.8%,5.4%,10.8%,0.1%,0.3%,3.1%
"
Blue Valley High
",Stilwell,KS,#3,57%,"
1,511
",98%,57%,25.6,18th,73%,84.2%,1.7%,4%,6.3%,0.3%,0.2%,3.3%
"
Dupont Manual High
",Louisville,KY,#1,84%,"
1,896
",99% or more*,84%,27.5,11th,79%,66.3%,15.8%,2.7%,13.1%,0.1%,0.3%,1.7%
"
Highlands High School
",Fort Thomas,KY,#2,82%,"
972
",96%,82%,24.4,15th,74%,94.8%,1.1%,1.6%,0.9%,0%,0%,1.5%
"
Louisville Male High School
",Louisville,KY,#3,72%,"
1,776
",97%,72%,22.3,9th,51%,62.3%,32.2%,2.6%,1.5%,0%,0.1%,1.4%
"
Caddo Parish Magnet High School
",Shreveport,LA,#1,26.3,"
1,122
",98%,26.3,12th,14th,18%,62.1%,22.5%,4.1%,8%,0.4%,0.1%,2.8%
"
Thomas Jefferson High School for Advanced Studies
",Gretna,LA,#2,26.7,"
400
",95%,26.7,11th,10th,18%,38.5%,34.2%,7%,15%,0.5%,0.5%,4.2%
"
Benjamin Franklin High School
",New Orleans,LA,#3,28.8,"
894
",97%,28.8,32nd,12th,18%,41.1%,32.6%,6.7%,16.4%,0.3%,0%,2.9%
"
Falmouth High School
",Falmouth,ME,#1,60%,"
696
",95% or more*,60%,91%,41%,77%,92.8%,1.3%,1%,4.5%,0.4%,0%,0%
"
Marshwood High School
",South Berwick,ME,#2,54%,"
759
",94%,54%,131%,20%,83%,94.5%,2.2%,1.3%,0.9%,0.4%,0%,0.7%
"
Wells High School
",Wells,ME,#3,53%,"
446
",95% or more*,53%,63%,31%,70%,95.7%,0.7%,1.3%,0.2%,0%,0%,2%
"
Marriotts Ridge High
",Marriottsville,MD,#1,98%,"
1,161
",98%,98%,74%,46%,91%,59.5%,6.9%,3.3%,26.3%,0%,0%,4%
"
River Hill High
",Clarksville,MD,#2,98%,"
1,310
",97%,98%,78%,50%,86%,56.1%,5.9%,7.4%,25.9%,0.2%,0.1%,4.4%
"
Centennial High
",Ellicott City,MD,#3,98%,"
1,402
",98%,98%,75%,42%,82%,48.3%,8%,3.7%,34.9%,0.1%,0.1%,4.9%
"
Hopkinton High
",Hopkinton,MA,#1,98%,"
1,122
",98%,98%,1132,3rd,85%,90.3%,1.2%,1.5%,6.2%,0.3%,0%,0.4%
"
Belmont High
",Belmont,MA,#2,98%,"
1,236
",97%,98%,1197,30th,97%,69.4%,4.7%,3.1%,16.4%,0%,0.2%,6.2%
"
Acton-Boxborough Regional High
",Acton,MA,#3,97%,"
1,903
",98%,97%,1258,8th,101%,68.4%,1.1%,3.3%,24.1%,0.3%,0%,2.8%
"
Rochester Adams High School
",ROCHESTER HILLS,MI,#1,62%,"
1,567
",99% or more*,62%,1216,21st,97%,76.9%,4.3%,3.1%,12.3%,0.3%,0.1%,3.1%
"
Grosse Pointe South High School
",GROSSE POINTE FARMS,MI,#2,68%,"
1,671
",96%,68%,1166,34th,80%,83.3%,11%,2.1%,1.2%,0.1%,0%,2.3%
"
Troy High School
",TROY,MI,#3,76%,"
2,018
",98%,76%,1204,247th,91%,55.8%,5.2%,2.4%,33.5%,0%,0%,2.9%
"
Mounds View Senior High
",ARDEN HILLS,MN,#1,79%,"
1,735
",98%,79%,25.4,7th,79%,77.5%,3.6%,2.3%,14.4%,0.5%,0.2%,1.6%
"
Chanhassen High School
",CHANHASSEN,MN,#2,72%,"
1,662
",97%,72%,24,1st,101%,91.8%,1%,2.3%,3.4%,0.2%,0.1%,1.1%
"
Orono Senior High
",LONG LAKE,MN,#3,76%,"
938
",97%,76%,25.7,25th,-,92.6%,0.6%,3.7%,1.7%,0.1%,0%,1.2%
"
Lewisburg High School
",OLIVE BRANCH,MS,#1,78%,"
900
",85%,78%,21.3,1st,88%,89%,8.1%,2.6%,0%,0.1%,0%,0.2%
"
Hernando High School
",HERNANDO,MS,#2,69%,"
1,186
",86%,69%,19.8,6th,69%,79.6%,13.3%,5.3%,1.3%,0.1%,0%,0.4%
"
Desoto Central High School
",Southaven,MS,#3,76%,"
1,684
",86%,76%,20.4,67th,43%,64.4%,28.9%,2.7%,3.4%,0.2%,0%,0.4%
"
Lafayette Sr. High
",WILDWOOD,MO,#1,85%,"
1,924
",97%,85%,24.4,43rd,94%,78.4%,11.4%,2.7%,6%,0.2%,0.1%,1.4%
"
Kirkwood Sr. High
",KIRKWOOD,MO,#2,82%,"
1,782
",97%,82%,23.4,52nd,92%,74.6%,17.3%,2.4%,1.9%,0.2%,0%,3.6%
"
West High
",BALLWIN,MO,#3,88%,"
1,176
",96%,88%,24.7,54th,90%,74.7%,11.2%,3%,8.1%,0.2%,0%,2.9%
